"trinity_id","gene_symbol","source","source_rank"
"c1000017-g1-i1^sp-Q11130-FUT7-HUMAN^Glyco-transf-10","FUT7","embedded",2
"c1000681-g1-i1^sp-Q16478-GRIK5-HUMAN^Tm1","GRIK5","embedded",2
"c1000681-g1-i2^sp-Q16478-GRIK5-HUMAN^Tm1","GRIK5","embedded",2
"c1000696-g1-i2^sp-Q5ZHN5-THAP5-CHICK^sp-Q8NA92-THAP8-HUMAN^THAP","THAP5","embedded",2
"c1000720-g2-i1^sp-Q5T601-GP110-HUMAN^sp-Q8VEC3-GP110-MOUSE^SEA","GP110","embedded",2
"c1000752-g1-i1^sp-Q5R4U0-CAH10-PONAB^Carb-anhydrase^sigP","CAH10","embedded",2
"c1000901-g1-i1^sp-Q05654-RTF21-SCHPO^sp-Q9UR07-RTF23-SCHPO","RTF21","embedded",2
"c1000907-g2-i2^sp-O95571-ETHE1-HUMAN^Lactamase-B","ETHE1","embedded",2
"c1001028-g2-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1001028-g3-i1^sp-Q95SX7-RTBS-DROME^RVT-1","RTBS","embedded",2
"c1001153-g1-i2^sp-Q0VFG3-SEGN-XENTR^EF-hand-6","SEGN","embedded",2
"c1001168-g1-i1^sp-A7TQS2-SHE10-VANPO^Tm1","SHE10","embedded",2
"c1001249-g1-i1^sp-P68543-UBX2A-HUMAN^SEP","UBX2A","embedded",2
"c1001249-g1-i2^sp-P68543-UBX2A-HUMAN^SEP","UBX2A","embedded",2
"c1001335-g2-i1^sp-Q61772-EPHA7-MOUSE^Pkinase-Tyr","EPHA7","embedded",2
"c1001338-g2-i1^sp-Q96NX5-KCC1G-HUMAN^Pkinase","KCC1G","embedded",2
"c1001698-g1-i1^sp-Q09575-YRD6-CAEEL^sp-Q7LHG5-YI31B-YEAST^RVT-1","YRD6","embedded",2
"c1001728-g1-i1^sp-P11369-POL2-MOUSE^sp-P08548-LIN1-NYCCO","POL2","embedded",2
"c1001919-g2-i1^sp-P08548-LIN1-NYCCO^Exo-endo-phos","LIN1","embedded",2
"c1002026-g1-i1^sp-P11369-POL2-MOUSE^RVT-1","POL2","embedded",2
"c1002086-g1-i1^sp-Q03278-PO21-NASVI^RVT-1","PO21","embedded",2
"c1002123-g1-i1^sp-Q01101-INSM1-HUMAN^sp-Q63ZV0-INSM1-MOUSE^zf-C2H2","INSM1","embedded",2
"c1002152-g1-i1^sp-Q05654-RTF21-SCHPO^sp-Q7LHG5-YI31B-YEAST^sp-Q52QI2-RTL1-BOVIN^RVT-1^Retrotrans-gag","RTF21","embedded",2
"c1002238-g1-i1^sp-Q9ESN2-TRI39-MOUSE^zf-C3HC4-3","TRI39","embedded",2
"c1002244-g3-i1^sp-Q9UR07-RTF23-SCHPO^sp-Q09575-YRD6-CAEEL","RTF23","embedded",2
"c1002356-g1-i1^sp-Q8IY37-DHX37-HUMAN^DEAD","DHX37","embedded",2
"c1002460-g1-i1^sp-A6NKG5-RTL1-HUMAN^sp-Q52QI2-RTL1-BOVIN^Retrotrans-gag","RTL1","embedded",2
"c1002729-g1-i1^sp-Q64368-DAZL-MOUSE^sp-Q9BGN8-DAZL-CALJA^RRM-1","DAZL","embedded",2
"c1002729-g1-i3^sp-Q64368-DAZL-MOUSE^sp-Q95192-DAZL-MACFA^RRM-1","DAZL","embedded",2
"c1002759-g1-i1^sp-Q5T700-LRAD1-HUMAN^Tm1","LRAD1","embedded",2
